gene_names,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,WT.1,WT.2,WT.3,WT.5,WT.6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Apoe,575.4100727,617.7948922,611.9267694,427.7868815,609.7672821,21310.32459,18661.5957,15842.72102,15501.07851,22863.46805,6681.642838,-5.050896311,0.226046821,-22.34446961,1.37E-110,2.37E-106
Tnfsf12,2.930781355,3.922507252,22.0419591,2.842437751,12.06133086,328.1215775,458.4407722,421.9322329,428.0397974,316.0041731,256.5596918,-5.555345556,0.345302665,-16.08833676,3.08E-58,2.67E-54
Cdkn1c,474.7865795,498.158421,432.4422453,422.8126154,470.3919034,1346.665641,1640.199207,1088.203753,915.3798187,1139.467816,747.4651539,-1.416044719,0.151428272,-9.351257207,8.66E-21,3.75E-17
Cry1,321.409022,348.1225186,406.2018178,469.7128383,288.1317927,624.9934809,993.2883398,1000.00323,1011.338363,1030.358884,551.4591138,-1.341802266,0.161807574,-8.292580092,1.11E-16,3.84E-13
Vmn2r29,65.45411693,85.31453273,81.87013381,62.53363052,105.871682,227.5366891,248.5767743,309.8937304,246.9045683,200.719263,133.7221711,-1.631113461,0.20926845,-7.794359171,6.47E-15,1.87E-11
Ccdc61,173.8930271,129.4427393,172.1372044,147.806763,201.0221809,316.4029497,259.7831042,315.8532252,305.1266062,311.8868549,204.1545943,-0.881375656,0.12451851,-7.078270154,1.46E-12,3.61E-09
2610507I01Rik,654.5411693,663.8843524,742.0792898,662.287996,935.4232152,1494.12504,1196.021037,1412.400271,1353.123289,1249.606079,1143.404429,-0.876559052,0.129045735,-6.792623187,1.10E-11,2.39E-08
Tnip1,1662.729956,1565.080393,1944.940487,1595.318188,1614.878187,1208.971765,1092.107795,1138.26351,1000.556504,1070.502736,1320.620951,0.604976246,0.089456416,6.762804433,1.35E-11,2.61E-08
Cyp1a1,3272.705847,1422.889506,1670.990424,265.7679297,678.1148236,93.74902213,89.6506399,202.6228237,79.78575569,223.3645132,590.5979234,3.407474342,0.530158656,6.427272862,1.30E-10,2.05E-07
Lonrf3,532.4252795,452.0689608,384.1598587,419.9701777,466.3714597,838.8584376,920.9565735,1092.971349,1212.959124,858.460848,687.3780692,-1.126804046,0.180160745,-6.25443708,3.99E-10,5.61E-07
Orm3,213.9470389,477.5652579,199.427249,147.0961536,174.2192235,51.75727263,41.76904813,39.33266578,30.18920486,86.46368253,136.7682348,2.278905199,0.38692448,5.889793277,3.87E-09,4.79E-06
Hmgn2,1322.759318,1274.814857,1366.601464,1286.913692,1342.828169,1717.75552,2144.484057,1759.242869,1760.677555,1726.185662,1529.387255,-0.46662354,0.079558315,-5.865176256,4.49E-09,5.02E-06
Nkx3-1,238.3702169,111.7914567,93.41592192,83.85191365,131.3344915,519.525831,654.0421683,483.910979,580.0640076,288.2122751,293.7982389,-1.94013646,0.331085736,-5.859921621,4.63E-09,5.02E-06
Zfp39,387.840066,300.0718048,255.0569553,359.5683755,404.7246576,639.6417656,607.1793338,659.1201265,559.5784757,524.9580725,501.0865043,-0.809599337,0.13946642,-5.804976849,6.44E-09,6.56E-06
Itgal,245.2087067,203.9703771,393.6064126,252.9769598,178.2396671,93.74902213,94.74442625,66.74634193,97.0367299,81.31703476,167.5395596,1.554534876,0.269005673,5.778818192,7.52E-09,7.24E-06
2810021J22Rik,575.4100727,535.4222399,502.766591,477.5295422,540.0795927,417.9643903,342.3024432,362.3372847,314.8302792,345.8547301,427.3205823,0.558720811,0.096903713,5.765731719,8.13E-09,7.42E-06
Derl3,143.6082864,117.6752176,175.2860557,116.5399478,162.1578926,68.35866197,59.08792175,72.70583674,48.51836495,62.78910279,92.48057463,1.195429865,0.208593116,5.730917147,9.99E-09,8.66E-06
Cxcl2,6.838489829,46.08946021,28.33966171,37.6623002,312.2544544,3.906209255,1.018757272,5.959494815,2.156371775,4.117318216,38.28679988,4.65466596,0.817733328,5.692156358,1.25E-08,9.88E-06
Gm12250,351.6937626,392.2507252,212.0226542,336.8288735,124.6337522,96.67867907,98.81945534,58.40304919,54.98748027,74.11172789,170.8569459,1.888117687,0.332677061,5.675527139,1.38E-08,1.04E-05
Saa3,247.162561,296.1492975,279.1981487,44.05778514,249.2675043,1.953104628,4.075029086,2.383797926,28.03283308,12.35195465,207.767616,4.515389508,0.806525075,5.598573,2.16E-08,1.56E-05
Csf2rb2,931.988471,1261.086081,1151.429959,867.6541235,1810.539776,517.5727263,558.2789848,597.1413805,485.1836495,466.286288,1020.067126,1.197479507,0.216937084,5.519939163,3.39E-08,2.26E-05
Fasn,140064.9717,318863.5564,352444.6284,91080.23285,100653.1461,22763.43444,27838.5612,21124.02532,13208.85531,77769.96512,112869.6091,2.62414311,0.479605859,5.471457577,4.46E-08,2.86E-05
S100a9,112.3466186,401.0763665,477.5757806,60.40180221,414.1056927,16.60138934,16.30011634,19.07038341,67.92571093,16.46927286,128.1162132,3.426012607,0.637065572,5.377802161,7.54E-08,4.67E-05
Csf2rb,2638.680147,2505.501507,2540.073382,1618.768299,2485.974304,1644.514097,1446.635326,1284.867082,1179.535361,1243.430101,2043.69569,0.793332134,0.149232623,5.316077148,1.06E-07,6.34E-05
Ptges,703.3875252,896.292907,1072.708676,547.169267,467.7116076,367.18367,319.8897833,257.450176,221.028107,343.796071,501.6406545,1.288139787,0.242844793,5.30437474,1.13E-07,6.53E-05
Oas2,351.6937626,409.9020078,556.2970631,549.3010954,419.4662842,244.1380785,210.8827552,222.8851061,240.435453,271.7430023,380.7308015,0.943040019,0.178654892,5.27855693,1.30E-07,7.28E-05
Mfap3,1581.645005,1496.436517,1452.670067,1637.954754,1628.279665,2094.704713,2128.18394,2127.539649,2159.606333,2063.805756,1929.155278,-0.439402461,0.084056319,-5.227476861,1.72E-07,9.31E-05
Slitrk4,10.7461983,8.825641317,8.396936802,4.974266064,4.020443618,33.20277867,30.56271815,32.181272,34.50194841,17.49860242,13.44343163,-1.995915906,0.384480026,-5.191208314,2.09E-07,0.000109722
Igj,2369.048262,3077.206939,5636.443828,3454.272477,2167.01911,746.0859678,770.1804973,352.802093,359.0359006,949.0418488,1664.093991,2.394233454,0.462485807,5.176879843,2.26E-07,0.000113744
Mroh1,3283.452045,3173.308367,3136.255895,3322.809731,3627.780292,2603.488469,2340.085453,2661.510384,2679.291931,2697.872761,3108.959009,0.349392255,0.067534682,5.173523394,2.30E-07,0.000113744
Mill1,165.100683,90.21766679,55.62970631,33.39864357,56.28621066,23.43725553,14.2626018,16.68658548,18.32916009,22.64525019,42.07260439,2.067931061,0.40056966,5.162475509,2.44E-07,0.000117317
Mmp12,493.3481948,238.2923155,998.1858623,449.1051646,686.1557109,48.82761569,66.21922265,61.97874607,50.67473672,13.3812842,909.8274736,3.571272348,0.694559325,5.141781588,2.72E-07,0.000127467
C5ar2,41.03093897,28.43817758,49.33200371,32.68803414,64.3270979,124.0221439,85.57561081,123.9574921,114.2877041,115.28491,64.80833816,-1.400042965,0.276799144,-5.057974325,4.24E-07,0.000193245
Npas2,589.0870524,652.1168306,429.293394,432.7611476,637.9103875,173.8263119,99.83821261,237.1878936,199.4643892,91.6103303,457.2469675,1.773950229,0.351090045,5.052693039,4.36E-07,0.000193573
Il1b,44.93864745,200.0478698,139.5990743,58.26997389,540.0795927,42.96830181,26.48768906,14.30278756,11.86004476,13.3812842,98.02812209,3.166665429,0.628507287,5.038390957,4.69E-07,0.000198433
Nlrp3,42.00786609,106.8883226,89.21745352,76.03520984,388.6428831,17.57794165,23.43141725,17.87848444,16.17278832,34.99720484,82.83562193,2.668843971,0.529340042,5.041832776,4.61E-07,0.000198433
Bcl3,219.8086016,301.0524316,399.9041152,249.4239126,395.3436225,164.0607887,138.5509889,79.85723052,52.8311085,149.2527853,250.5551729,1.41712727,0.285434425,4.964808535,6.88E-07,0.000283753
Zbtb14,1076.573684,851.1840736,947.8042415,1048.148921,959.5458769,1473.617442,1490.441888,1205.009852,1189.239034,1343.275068,1138.144505,-0.456434072,0.092164852,-4.952365892,7.33E-07,0.000295483
Cd5l,454.2711101,206.9122575,742.0792898,342.513749,960.8860248,4.882761569,8.150058172,2.383797926,40.97106373,10.29329554,1272.944152,5.343028868,1.080442906,4.945220928,7.61E-07,0.000299563
Slc25a10,1437.059791,2484.908344,2456.104014,1143.370585,1182.010424,768.546671,816.0245745,637.6659452,544.4838733,725.6773356,1110.937593,1.31720271,0.266601183,4.940723419,7.78E-07,0.000299744
Ctso,1427.29052,1466.037085,1627.956122,1620.189518,1385.7129,2071.267458,2275.903745,1998.814561,1940.734598,2104.978938,1938.381717,-0.464614189,0.094369324,-4.923360356,8.51E-07,0.000320494
Gbp10,63.5002627,86.29515954,110.2097955,63.9548494,28.14310533,26.36691247,18.33763089,19.07038341,8.625487102,15.43994331,46.21478026,2.003540588,0.407868895,4.912217173,9.01E-07,0.000330546
Gm1821,1446.829062,1583.712303,1066.410974,1525.678463,1215.514121,513.6665171,797.6869436,816.4507896,846.3759219,787.4371088,968.8764768,0.863117541,0.175824381,4.908975286,9.16E-07,0.000330546
Spata24,88.90036777,85.31453273,54.58008921,69.6397249,79.0687245,136.7173239,145.6822898,115.6141994,121.8350053,111.1675918,105.9569952,-0.7455528,0.152193346,-4.898721398,9.65E-07,0.000341162
Csf3r,293.0781355,419.7082759,428.2437769,252.9769598,597.7059513,199.216672,143.6447753,145.4116735,216.7153634,146.1647967,299.5211934,1.223327351,0.250457208,4.884376708,1.04E-06,0.00035962
Mmp13,68.38489829,213.7766452,49.33200371,12.79096988,68.34754151,2.929656942,1.018757272,2.383797926,3.234557663,6.175977324,126.1540515,4.709719411,0.965934071,4.875818705,1.08E-06,0.000368205
Serpina3j,672.1258575,572.6860588,6.297702601,97.35349297,151.4367096,2.929656942,22.41265997,16.68658548,5.390929439,16.46927286,109.6467853,4.554333309,0.936389259,4.863718016,1.15E-06,0.000383929
Mfsd2b,164.1237559,153.9584096,161.6410334,153.4916385,187.6207022,218.7477183,225.145357,243.1473884,268.468286,230.5698201,190.1314895,-0.537056787,0.11051966,-4.859377847,1.18E-06,0.000385037
Pou2af1,226.6470915,167.687185,277.0989145,197.5494237,143.3958224,30.27312173,47.88159176,22.6460803,29.11101897,76.17038699,102.244221,2.294992776,0.473210183,4.849838104,1.24E-06,0.000396543
Osgin1,112.3466186,107.8689494,101.8128587,121.5142139,117.9330128,220.7008229,205.7889689,134.6845828,162.806069,180.1326719,146.2542839,-0.689834838,0.144164668,-4.785047882,1.71E-06,0.000538637
